item,dayOfWeek,week,Quantity
0,0,3,1
0,0,4,1
0,0,6,1
0,0,10,1
0,0,14,1
0,0,16,4
0,0,17,1
0,0,22,2
0,0,23,2
0,0,27,2
0,0,28,2
0,0,30,2
0,0,32,2
0,0,34,1
0,0,35,4
0,0,36,3
0,0,40,1
0,0,41,1
0,0,48,3
0,0,52,1
0,1,8,1
0,1,10,4
0,1,12,1
0,1,14,1
0,1,15,1
0,1,20,2
0,1,21,5
0,1,22,3
0,1,23,2
0,1,25,1
0,1,31,4
0,1,33,2
0,1,38,1
0,1,41,2
0,1,45,2
0,1,49,1
0,2,2,1
0,2,4,1
0,2,6,1
0,2,7,1
0,2,10,1
0,2,11,4
0,2,12,1
0,2,14,1
0,2,18,1
0,2,19,1
0,2,22,1
0,2,23,3
0,2,27,1
0,2,29,3
0,2,31,1
0,2,41,1
0,2,43,1
0,2,47,1
0,2,48,2
0,2,49,2
0,2,51,1
0,2,52,1
0,3,3,1
0,3,5,1
0,3,6,2
0,3,9,1
0,3,12,1
0,3,20,8
0,3,29,2
0,3,30,1
0,3,31,1
0,3,34,1
0,3,36,1
0,3,40,2
0,3,41,2
0,3,42,1
0,3,44,2
0,3,49,3
0,3,50,2
0,4,2,2
0,4,4,1
0,4,6,3
0,4,7,1
0,4,8,3
0,4,9,1
0,4,10,1
0,4,11,1
0,4,16,1
0,4,17,2
0,4,19,1
0,4,20,1
0,4,21,1
0,4,22,1
0,4,23,2
0,4,24,1
0,4,25,4
0,4,27,1
0,4,29,2
0,4,30,1
0,4,32,1
0,4,33,1
0,4,36,1
0,4,39,3
0,4,40,2
0,4,41,2
0,4,42,4
0,4,43,1
0,4,44,1
0,4,46,1
0,4,48,1
0,4,49,1
0,4,51,3
0,5,1,3
0,5,4,1
0,5,7,1
0,5,8,1
0,5,9,1
0,5,11,1
0,5,12,2
0,5,13,5
0,5,17,1
0,5,18,3
0,5,19,1
0,5,20,1
0,5,21,3
0,5,22,1
0,5,23,2
0,5,26,1
0,5,27,3
0,5,29,1
0,5,30,1
0,5,33,1
0,5,35,2
0,5,36,2
0,5,37,3
0,5,38,4
0,5,40,1
0,5,41,2
0,5,42,2
0,5,46,1
0,5,49,1
0,5,50,1
0,6,5,2
0,6,6,2
0,6,11,1
0,6,12,2
0,6,14,1
0,6,16,1
0,6,17,17
0,6,19,10
0,6,20,1
0,6,22,1
0,6,25,4
0,6,26,3
0,6,27,1
0,6,28,2
0,6,29,1
0,6,30,4
0,6,31,1
0,6,33,2
0,6,34,1
0,6,35,1
0,6,36,1
0,6,39,1
0,6,40,2
0,6,42,2
0,6,43,3
0,6,45,3
0,6,47,2
0,6,49,2
0,6,50,2
0,6,52,2
1,0,1,4
1,0,2,1
1,0,3,2
1,0,5,1
1,0,6,3
1,0,7,1
1,0,9,2
1,0,10,2
1,0,12,4
1,0,14,1
1,0,19,2
1,0,21,2
1,0,22,6
1,0,23,2
1,0,24,2
1,0,25,1
1,0,26,1
1,0,28,2
1,0,29,3
1,0,34,2
1,0,35,2
1,0,36,3
1,0,37,2
1,0,39,1
1,0,40,2
1,0,41,1
1,0,42,2
1,0,44,1
1,0,45,4
1,0,46,1
1,0,49,3
1,0,50,2
1,0,51,1
1,0,52,3
1,1,1,2
1,1,2,4
1,1,3,1
1,1,4,1
1,1,6,2
1,1,7,2
1,1,8,2
1,1,10,2
1,1,12,1
1,1,13,1
1,1,14,2
1,1,15,2
1,1,16,1
1,1,18,3
1,1,19,1
1,1,21,1
1,1,22,2
1,1,25,4
1,1,27,2
1,1,28,1
1,1,29,1
1,1,30,2
1,1,32,2
1,1,36,2
1,1,37,1
1,1,38,1
1,1,39,1
1,1,40,1
1,1,41,3
1,1,42,2
1,1,45,3
1,1,46,2
1,1,47,1
1,1,49,4
1,1,50,1
1,2,2,1
1,2,3,1
1,2,4,2
1,2,6,1
1,2,7,1
1,2,8,3
1,2,10,4
1,2,11,1
1,2,12,1
1,2,15,2
1,2,16,1
1,2,18,2
1,2,19,2
1,2,20,1
1,2,21,1
1,2,23,4
1,2,26,2
1,2,27,1
1,2,28,4
1,2,31,1
1,2,32,2
1,2,33,1
1,2,38,1
1,2,40,2
1,2,42,2
1,2,43,3
1,2,45,3
1,2,47,1
1,2,48,1
1,2,49,2
1,2,50,1
1,2,51,1
1,3,1,2
1,3,2,1
1,3,4,2
1,3,5,3
1,3,6,1
1,3,7,1
1,3,8,1
1,3,9,1
1,3,10,3
1,3,11,2
1,3,12,3
1,3,13,2
1,3,14,3
1,3,15,1
1,3,18,1
1,3,19,2
1,3,20,2
1,3,21,3
1,3,22,1
1,3,23,5
1,3,25,2
1,3,27,1
1,3,28,2
1,3,29,4
1,3,30,1
1,3,31,3
1,3,33,1
1,3,34,1
1,3,36,2
1,3,38,2
1,3,39,2
1,3,40,4
1,3,41,1
1,3,42,4
1,3,43,1
1,3,44,2
1,3,45,4
1,3,47,1
1,3,49,2
1,3,51,1
1,4,2,2
1,4,3,2
1,4,4,7
1,4,5,3
1,4,6,3
1,4,7,4
1,4,8,1
1,4,9,1
1,4,10,2
1,4,11,3
1,4,12,2
1,4,13,3
1,4,14,4
1,4,15,4
1,4,16,2
1,4,17,1
1,4,19,1
1,4,20,2
1,4,21,3
1,4,22,2
1,4,23,2
1,4,24,3
1,4,25,6
1,4,26,1
1,4,27,1
1,4,28,2
1,4,29,7
1,4,30,7
1,4,31,3
1,4,33,4
1,4,34,3
1,4,35,1
1,4,36,3
1,4,37,5
1,4,38,5
1,4,39,2
1,4,40,2
1,4,41,1
1,4,42,3
1,4,43,3
1,4,44,3
1,4,45,1
1,4,46,4
1,4,47,3
1,4,48,1
1,4,49,1
1,4,50,2
1,4,51,1
1,5,1,4
1,5,3,4
1,5,4,5
1,5,5,4
1,5,7,5
1,5,8,2
1,5,9,1
1,5,10,3
1,5,11,3
1,5,13,2
1,5,14,1
1,5,15,1
1,5,16,5
1,5,17,5
1,5,18,2
1,5,19,1
1,5,20,2
1,5,21,4
1,5,22,2
1,5,23,4
1,5,24,5
1,5,26,1
1,5,27,2
1,5,28,3
1,5,29,3
1,5,30,9
1,5,31,2
1,5,32,4
1,5,33,5
1,5,34,1
1,5,36,3
1,5,37,2
1,5,38,3
1,5,40,1
1,5,41,3
1,5,42,4
1,5,43,3
1,5,46,4
1,5,47,4
1,5,48,1
1,5,49,1
1,5,50,3
1,5,51,5
1,5,52,4
1,6,1,2
1,6,2,1
1,6,5,1
1,6,6,3
1,6,11,2
1,6,12,2
1,6,13,2
1,6,14,2
1,6,15,2
1,6,16,1
1,6,17,1
1,6,18,2
1,6,19,3
1,6,20,2
1,6,21,1
1,6,22,1
1,6,24,1
1,6,25,1
1,6,26,2
1,6,28,2
1,6,30,1
1,6,32,3
1,6,34,2
1,6,35,3
1,6,36,1
1,6,37,6
1,6,38,3
1,6,40,2
1,6,41,4
1,6,43,3
1,6,44,2
1,6,45,4
1,6,48,3
1,6,49,1
1,6,50,3
1,6,51,4
2,0,3,1
2,0,6,1
2,0,10,2
2,0,27,1
2,0,28,1
2,0,31,1
2,0,39,1
2,0,50,1
2,1,6,1
2,1,15,1
2,1,29,1
2,1,35,1
2,1,36,1
2,1,39,1
2,1,45,1
2,2,1,1
2,2,3,1
2,2,7,2
2,2,21,1
2,2,24,1
2,2,51,2
2,3,21,1
2,3,22,1
2,3,49,1
2,4,3,1
2,4,10,1
2,4,22,1
2,4,40,1
2,4,42,1
2,5,4,1
2,5,5,1
2,5,18,1
2,5,19,1
2,5,26,1
2,5,38,1
2,6,4,1
2,6,12,1
2,6,13,1
2,6,21,1
2,6,38,2
3,0,1,1
3,0,9,1
3,0,12,1
3,0,17,1
3,0,18,1
3,0,19,1
3,0,20,1
3,0,22,1
3,0,23,1
3,0,26,1
3,0,27,1
3,0,32,1
3,0,36,2
3,1,2,1
3,1,6,3
3,1,9,1
3,1,10,1
3,1,15,3
3,1,17,1
3,1,20,2
3,1,25,1
3,1,26,1
3,1,27,1
3,1,28,1
3,1,31,2
3,1,32,2
3,1,40,1
3,1,42,1
3,1,45,3
3,1,50,1
3,1,51,1
3,2,1,2
3,2,4,1
3,2,5,1
3,2,6,1
3,2,11,1
3,2,12,2
3,2,14,1
3,2,16,1
3,2,17,1
3,2,18,1
3,2,21,1
3,2,23,2
3,2,24,2
3,2,25,1
3,2,26,1
3,2,27,1
3,2,33,1
3,2,34,1
3,2,40,1
3,2,41,2
3,2,47,1
3,2,49,1
3,2,52,1
3,3,1,1
3,3,3,2
3,3,4,2
3,3,6,1
3,3,20,2
3,3,23,2
3,3,26,2
3,3,27,1
3,3,28,1
3,3,29,2
3,3,32,2
3,3,39,1
3,3,40,1
3,3,41,1
3,3,42,1
3,3,44,1
3,3,46,1
3,3,48,1
3,3,49,1
3,3,50,3
3,3,51,3
3,3,52,1
3,4,4,1
3,4,7,1
3,4,9,2
3,4,11,2
3,4,12,2
3,4,13,2
3,4,14,1
3,4,17,1
3,4,20,1
3,4,22,1
3,4,23,2
3,4,25,2
3,4,27,1
3,4,29,1
3,4,31,1
3,4,32,1
3,4,35,1
3,4,36,1
3,4,38,1
3,4,40,1
3,4,41,1
3,4,42,1
3,4,47,2
3,4,49,1
3,4,52,1
3,5,1,1
3,5,2,3
3,5,4,2
3,5,5,5
3,5,7,1
3,5,8,1
3,5,9,1
3,5,11,1
3,5,13,3
3,5,15,2
3,5,17,2
3,5,18,2
3,5,21,1
3,5,28,1
3,5,29,2
3,5,32,1
3,5,37,2
3,5,39,1
3,5,41,1
3,5,46,1
3,5,47,1
3,5,50,1
3,6,1,1
3,6,2,2
3,6,4,1
3,6,5,1
3,6,6,1
3,6,10,1
3,6,12,1
3,6,14,1
3,6,21,1
3,6,25,1
3,6,26,1
3,6,27,1
3,6,33,2
3,6,34,2
3,6,35,1
3,6,36,1
3,6,37,1
3,6,39,1
3,6,40,2
3,6,41,2
3,6,42,1
3,6,47,1
3,6,49,1
3,6,51,1
4,0,8,1
4,0,21,1
4,0,23,1
4,0,27,1
4,0,34,1
4,1,23,1
4,1,45,1
4,2,4,1
4,2,5,1
4,2,11,1
4,2,38,2
4,2,43,1
4,2,51,1
4,3,7,1
4,3,29,1
4,3,41,1
4,3,42,1
4,3,51,1
4,4,5,1
4,4,6,1
4,4,10,1
4,4,14,1
4,4,17,2
4,4,21,1
4,4,39,1
4,4,48,2
4,5,4,2
4,5,18,1
4,5,20,2
4,5,23,1
4,5,25,1
4,5,33,1
4,6,1,2
4,6,19,1
4,6,21,1
4,6,23,1
4,6,24,1
4,6,37,2
5,0,11,1
5,0,35,1
5,1,36,1
5,2,14,1
5,2,44,1
5,3,4,1
5,3,10,1
5,4,10,1
5,4,24,1
5,4,27,1
5,4,31,1
5,5,18,1
5,5,25,1
5,5,40,1
5,5,45,1
5,6,16,1
5,6,31,1
5,6,41,1
6,0,15,1
6,0,40,1
6,1,21,1
6,1,23,1
6,1,47,1
6,2,10,1
6,2,16,1
6,2,20,1
6,2,42,1
6,2,49,2
6,3,16,1
6,3,28,1
6,3,45,1
6,4,6,1
6,4,12,1
6,4,33,1
6,5,1,1
6,5,10,1
6,5,11,1
6,5,18,1
6,5,33,1
6,6,46,1
7,0,1,3
7,0,5,3
7,0,8,1
7,0,12,1
7,0,15,1
7,0,21,1
7,0,23,1
7,0,29,1
7,1,2,1
7,1,16,1
7,1,22,1
7,1,23,2
7,1,26,1
7,1,38,1
7,1,40,1
7,1,48,1
7,1,51,1
7,2,8,1
7,2,9,1
7,2,10,2
7,2,11,1
7,2,19,1
7,2,23,1
7,2,31,1
7,2,32,1
7,2,42,1
7,2,43,1
7,2,51,2
7,3,9,1
7,3,14,2
7,3,21,1
7,3,33,2
7,3,36,2
7,3,41,1
7,3,44,1
7,3,48,1
7,3,50,2
7,4,14,1
7,4,17,1
7,4,18,1
7,4,20,1
7,4,21,1
7,4,23,1
7,4,25,1
7,4,27,1
7,4,30,2
7,4,41,1
7,4,44,2
7,4,51,1
7,4,52,1
7,5,1,2
7,5,3,1
7,5,5,3
7,5,8,1
7,5,9,1
7,5,12,1
7,5,18,2
7,5,20,1
7,5,21,1
7,5,23,1
7,5,24,2
7,5,30,1
7,5,34,1
7,5,36,2
7,5,37,1
7,5,38,3
7,5,40,3
7,5,41,1
7,5,47,1
7,5,51,1
7,6,1,1
7,6,7,1
7,6,11,1
7,6,26,1
7,6,28,1
7,6,29,1
7,6,30,1
7,6,32,2
7,6,34,1
7,6,35,1
7,6,36,1
7,6,40,2
7,6,44,1
7,6,51,1
8,0,6,1
8,0,22,1
8,0,27,1
8,0,36,2
8,0,37,1
8,0,38,1
8,0,39,1
8,0,40,1
8,1,11,1
8,1,21,1
8,1,34,1
8,1,38,1
8,1,42,1
8,2,5,1
8,2,6,1
8,2,17,2
8,2,18,1
8,2,23,1
8,2,26,1
8,2,31,2
8,2,40,1
8,2,50,1
8,3,7,1
8,3,12,1
8,3,14,1
8,3,15,1
8,3,19,1
8,3,44,1
8,4,4,1
8,4,7,1
8,4,15,2
8,4,20,1
8,4,22,1
8,4,25,1
8,4,42,1
8,4,43,1
8,4,50,1
8,5,10,1
8,5,14,1
8,5,15,1
8,5,16,1
8,5,18,1
8,5,19,1
8,5,32,1
8,5,39,1
8,5,44,1
8,5,46,1
8,5,47,2
8,5,49,2
8,5,50,1
8,5,51,1
8,6,1,1
8,6,5,1
8,6,10,1
8,6,19,1
8,6,21,2
8,6,26,2
8,6,27,3
8,6,29,1
8,6,31,1
8,6,33,1
8,6,42,2
9,0,1,2
9,0,2,1
9,0,4,2
9,0,5,1
9,0,6,4
9,0,12,1
9,0,14,1
9,0,16,1
9,0,17,1
9,0,18,1
9,0,19,1
9,0,28,1
9,0,29,4
9,0,32,1
9,0,34,1
9,0,35,1
9,0,36,2
9,1,2,1
9,1,5,3
9,1,10,2
9,1,14,2
9,1,16,1
9,1,19,1
9,1,20,2
9,1,21,1
9,1,24,1
9,1,25,1
9,1,26,1
9,1,27,1
9,1,31,4
9,1,32,1
9,1,33,1
9,1,34,1
9,1,35,1
9,1,37,1
9,1,39,3
9,1,41,1
9,1,45,2
9,1,46,1
9,1,47,2
9,1,49,1
9,1,50,1
9,2,4,2
9,2,5,1
9,2,6,1
9,2,9,1
9,2,12,1
9,2,13,1
9,2,20,1
9,2,22,1
